course_id,course_title,description,skills,difficulty,rating,url,source
1,Getting started with the Vertex AI Gemini 1.5 Pro Model,"This is a self-paced lab that takes place in the Google Cloud console. This lab will provide an introductory, hands-on experience with Generative AI on Google Cloud.","IT, Systems, Networking, Cloud Computing; Data Science, Machine Learning, Machine Learning",Intermediate,0.0,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr,Coursera
2,SPSS: Apply & Interpret Logistic Regression Models,"This course provides a practical and applied introduction to logistic regression and supervised learning using IBM SPSS Statistics. Designed for learners seeking to build analytical skills in predictive modeling, the course emphasizes both conceptual understanding and tool-based execution.

Through step-by-step instruction, learners will identify key components of logistic regression, configure data within SPSS, and construct predictive models using real-world case studies. They will analyze model outputs, evaluate predictor significance, and interpret statistical results to make informed decisions.

The course integrates Excel-based logistic modeling and reinforces learning through guided examples such as heart pulse analysis and smoking behavior classification. By the end, learners will be able to confidently apply logistic regression methods to structured datasets, assess model performance using statistical evidence, and communicate findings through SPSS-generated outputs.","Data Science, Machine Learning, Data Analysis",Intermediate,0.0,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models,Coursera
3,Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,This is a self-paced lab that takes place in the Google Cloud console. Learn how to secure a Compute Engine instance with Identity-Aware Proxy (IAP).,"IT, Systems, Networking, Cloud Computing; Computer Science, Programming, Computer Security And Networks",Intermediate,0.0,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml,Coursera
4,Intégrer des applications dans votre Dashboard Hootsuite,"À la fin de ce projet, vous aurez toutes les compétences de base pour intégrer des applications dans votre Dashboard Hootsuite. Vous serez en mesure de découvrir les différents types d’applications que vous pouvez installer et vous pourrez les intégrer facilement et rapidement à votre tableau de bord sur Hootsuite.","Business, Management, Marketing; Computer Science, Programming, Design And Product",Intermediate,0.0,https://www.coursera.org/learn/integrer-applications-dashboard-hootsuite,Coursera
5,Overcoming  Challenges in Self and Society,"This course is an personal development and academic voyage that delves into the heart of human endurance and societal fortitude. It embarks on an exploratory mission to dissect the essence of adversity, weaving through personal, societal, and environmental intricacies. Learners will cultivate a nuanced understanding of resilience as a dynamic force and its transformative impact on the self and society.

Distinguished by its interdisciplinary framework, the course fuses elements of psychology, sociology, spirituality, and ecology. It begins with a deep dive into the historical and philosophical underpinnings of adversity, engaging with diverse narratives and examining the resilience of notable figures and civilizations. The journey progresses to unveil the psychological anatomy of resilience, where learners will dissect concepts like grit and growth mindset, discerning their role in personal development and societal progress.

As the course advances, it guides learners through the spiritual and humanistic dimensions of resilience, drawing on Renaissance humanism and ancient wisdom. This module offers a kaleidoscopic view of inner strength, inviting a renaissance of personal growth. In the digital realm, students will explore how resilience manifests and adapts in the face of technological evolution and global interconnectedness.

Concluding with a global perspective, the course navigates the role of resilience in societal transformation, from historical upheavals to modern challenges. Learners will emerge from this course not just as repositories of knowledge, but as empowered individuals equipped to foster resilience in themselves and ignite change within their communities.","Personal Development, Productivity, Personal Development; Arts, Humanities, History",Intermediate,0.0,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society,Coursera
6,كيفية استعمال التطبيق هووتسويت,"ينشئ العديد من الأشخاص حسابات وسائط اجتماعية متعددة ويجدون لاحقا أنه من الصعب جدا تحديث ملفاتهم الشخصية على جميع المواقع.
ولذلك ستكون هذه الدورة التدريبية عبارة عن دراسة تمهيدية عن التطبيق هووتسويت، حيث سنتعرف على كيفية إنشاء حساب مجاني، كما سنتعلم كيفية استخدام موقع هووتسويت وطبيعته وميزاته المتقدمة.

في نهاية هذه الدورة ستكون قادرا على إنشاء حسابا مجانيا وستكون لديك دراية شاملة على الواجهة الإلكترونية لهووتسويت ومميزات وخصائص هذا التطبيق.

في هذا المشروع، سنقدم لك مراجعة تفصيلية للميزات الي يقدمها هووتسويت لإدارة فعالة لوسائل التواصل الاجتماعي. الهدف هو مساعدتك في اتخاذ قرار مستنير حول ما إذا كان هووتسويت مناسب لمتطلبات إدارة لوسائط الاجتماعية الخاصة بك.
بإكمال هذه الدورة التدريبية عن هووتسويت، وبمجرد اكتمال هذا المشروع سيكون بإمكانك الاتصال بجميع بروفايلاتك على مواقع التواصل الاجتماعي.

ملاحظة: تعمل هذه الدورة التدريبية بشكل أفضل للمتعلمين المقيمين في منطقة أمريكا الشمالية، نعمل حاليا على توفير نفس التجربة في مناطق أخرى.","Business, Management, Marketing; Business, Management, Business Strategy",Intermediate,0.0,https://www.coursera.org/learn/getting-started-with-hootsuite-ar,Coursera
7,Gamification,"Gamification is the application of game elements and digital game design techniques to non-game problems, such as business and social impact challenges. This course will teach you the mechanisms of gamification, why it has such tremendous potential, and how to use it effectively. For additional information on the concepts described in the course, you can purchase Professor Werbach's book For the Win: How Game Thinking Can Revolutionize Your Business in print or ebook format in several languages.","Computer Science, Programming, Design And Product; Business, Management, Marketing",Intermediate,0.0,https://www.coursera.org/learn/gamification,Coursera
8,CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,"This course is meticulously designed for cybersecurity professionals eager to enhance their skills in identifying, analyzing, and mitigating vulnerabilities. Through hands-on lessons, you'll gain the expertise to implement effective vulnerability scanning methods, prioritize risks, and recommend strategic controls to protect against potential threats. Equip yourself with the knowledge to not only understand vulnerabilities but also to proactively defend against them, ensuring your organization's security posture remains robust and resilient.","IT, Systems, Networking, Security",Intermediate,0.0,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z,Coursera
9,Dealing With Missing Data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages will be covered, including R®, Stata®, and SAS®.","Data Science, Machine Learning, Data Analysis; Social Sciences, Governance And Society",Intermediate,0.0,https://www.coursera.org/learn/missing-data,Coursera
10,Unordered Data Structures,"The Unordered Data Structures course covers the data structures and algorithms needed to implement hash tables, disjoint sets and graphs. These fundamental data structures are useful for unordered data. For example, a hash table provides immediate access to data indexed by an arbitrary key value, that could be a number (such as a memory address for cached memory), a URL (such as for a web cache) or a dictionary. Graphs are used to represent relationships between items, and this course covers several different data structures for representing graphs and several different algorithms for traversing graphs, including finding the shortest route from one node to another node. These graph algorithms will also depend on another concept called disjoint sets, so this course will also cover its data structure and associated algorithms.","Computer Science, Programming, Software Development",Intermediate,0.0,https://www.coursera.org/learn/cs-fundamentals-3,Coursera
